week,max,min
2137,3,75
2138,10,62
2139,349,720
2140,91,374
2141,83,271
2142,46,431
2143,98,475
2144,58,442
2145,115,260
2146,182,66
2147,45,56
2148,30,6
2149,40,10
2150,243,8
2151,70,11
2152,165,26
2153,203,10
2154,42,14
2155,153,4
2156,102,25
2157,170,11
2158,116,13
2159,151,10
2160,422,9
2161,324,16
2162,219,18
2163,127,7
2164,285,17
2165,217,41
2166,245,19
2167,162,30
2168,565,20
2169,339,32
2170,96,23
2171,21,30
2172,117,18
2173,86,26
2174,91,71
2175,34,43
2176,11,60
2177,42,38
2178,32,133
2179,10,89
2180,25,74
2181,36,130
2182,18,165
2183,22,156
2184,16,74
2185,11,154
2186,18,87
2187,18,180
2188,14,65
2189,32,56
2190,12,61
2191,20,115
2192,34,54
2193,24,269
2194,10,88
2195,16,129
2196,14,343
2197,20,89
2198,25,5
2199,25,12
2200,54,36
2201,80,14
2202,116,9
2203,53,12
2204,61,10
2205,62,7
2206,41,6
2207,122,7
2208,48,12
2209,44,9
2210,78,14
2211,124,6
2212,67,6
2213,114,15
2214,70,20
2215,120,8
2216,345,17
2217,690,12
2218,540,11
2219,171,22
2220,121,26
2221,149,36
2222,189,38
2223,123,29
2224,156,38
2225,45,28
2226,40,44
2227,23,88
2228,20,49
2229,17,54
2230,42,82
2231,16,122
2232,10,82
2233,13,87
2234,12,118
2235,15,86
2236,15,105
2237,20,44
2238,6,67
2239,20,96
2240,21,106
2241,11,112
2242,12,103
2243,43,95
2244,86,96
2245,59,390
2246,58,139
2247,26,82
2248,18,66
2249,15,77
2250,28,23
2251,13,28
2252,36,26
2253,27,25
2254,24,15
2255,14,2
2256,40,6
2257,25,2
2258,46,4
2259,24,5
2260,55,6
2261,88,3
2262,89,6
2263,39,4
2264,59,5
2265,83,4
2266,99,6
2267,172,8
2268,111,8
2269,391,5
2270,77,11
2271,99,9
2272,61,14
2273,74,13
2274,48,18
2275,49,9
2276,27,7
2277,12,7
2278,7,7
2279,12,16
2280,8,34
2281,11,24
2282,6,21
2283,15,29
2284,3,20
2285,1,18
2286,2,47
2287,2,33
2288,2,27
2289,1,23
2290,0,49
2291,0,63
2292,2,358
2293,9,93
2294,11,64
2295,29,89
2296,75,718
2297,24,47
2298,24,45
2299,6,131
2300,7,190
2301,6,156
2302,6,26
2303,3,5
2304,5,121
2305,21,10
2306,9,9
2307,10,9
2308,21,5
2309,12,4
2310,6,2
2311,19,1
2312,15,5
2313,21,13
2314,18,1
2315,29,8
2316,33,5
2317,21,2
2318,32,16
2319,16,6
2320,24,7
2321,42,9
2322,74,32
2323,107,15
2324,108,6
2325,78,25
2326,73,29
2327,40,15
2328,21,10
2329,22,9
2330,12,25
2331,12,24
2332,9,22
2333,6,9
2334,6,18
2335,9,28
2336,16,21
2337,23,15
2338,17,33
2339,5,44
2340,7,35
2341,8,50
2342,3,28
2343,1,34
2344,3,18
2345,1,5
2346,0,16
2347,2,69
2348,14,52
2349,1,80
2350,5,11
2351,5,21
2352,5,13
2353,14,31
2354,6,148
2355,4,358
2356,11,9
2357,10,7
2358,9,4
2359,4,3
2360,8,3
2361,5,7
2362,14,0
2363,10,3
2364,8,0
2365,14,1
2366,11,3
2367,9,4
2368,25,2
2369,42,6
2370,26,2
2371,53,1
2372,49,5
2373,165,7
2374,317,6
2375,43,3
2376,26,10
2377,31,2
2378,43,4
2379,137,1
2380,80,11
2381,10,17
2382,15,11
2383,13,0
2384,4,5
2385,1,7
2386,2,5
2387,7,16
2388,8,13
2389,2,23
2390,4,8
2391,4,10
2392,7,9
2393,2,17
2394,3,28
2395,4,26
2396,50,48
2397,32,81
2398,13,57
2399,22,59
2400,44,64
2401,18,38
2402,3,39
2403,7,57
2404,19,14
2405,18,13
2406,32,80
2407,47,3
2408,43,1
2409,29,0
2410,25,4
2411,18,0
2412,43,0
2413,30,4
2414,36,5
2415,42,2
2416,26,3
2417,39,6
2418,39,3
2419,49,1
2420,27,2
2421,35,7
2422,23,14
2423,16,12
2424,100,0
2425,21,3
2426,37,14
2427,44,8
2428,58,4
2429,34,7
2430,49,9
2431,25,11
2432,26,21
2433,16,13
2434,10,7
2435,19,11
2436,3,17
2437,3,14
2438,7,16
2439,2,18
2440,4,26
2441,3,23
2442,1,13
2443,13,21
2444,7,28
2445,5,27
2446,10,28
2447,1,21
2448,1,31
2449,1,62
2450,4,153
2451,2,8
2452,10,40
2453,8,193
2454,5,78
2455,7,23
2456,16,12
2457,9,17
2458,89,12
2459,7,2
2460,16,5
2461,13,25
2462,11,12
2463,5,5
2464,8,1
2465,8,4
2466,27,6
2467,18,4
2468,10,1
2469,22,9
2470,9,7
2471,30,6
2472,25,5
2473,24,3
2474,20,5
2475,39,3
2476,67,8
2477,24,2
2478,23,30
2479,44,2
2480,31,8
2481,36,6
2482,43,11
2483,60,2
2484,20,6
2485,2,8
2486,10,9
2487,45,9
2488,4,8
2489,15,11
2490,12,9
2491,4,26
2492,15,25
2493,8,37
2494,12,25
2495,3,43
2496,4,17
2497,1,23
2498,3,16
2499,1,9
2500,2,15
2501,1,37
2502,1,17
2503,0,42
2504,14,253
2505,17,125
2506,11,105
2507,7,36
2508,3,14
2509,8,19
2510,3,22
2511,6,35
2512,11,43
2513,7,14
2514,6,1
2515,7,1
2516,6,2
2517,10,3
2518,9,2
2519,16,0
2520,19,2
2521,24,5
2522,24,0
2523,16,0
2524,22,4
2525,47,4
2526,36,3
2527,27,2
2528,44,10
2529,29,5
2530,128,4
2531,80,6
2532,171,17
2533,86,7
2534,185,7
2535,81,6
2536,335,1
2537,6,11
2538,9,16
2539,7,3
2540,3,9
2541,5,6
2542,4,17
2543,2,8
2544,3,15
2545,4,40
2546,1,18
2547,3,6
2548,1,7
2549,3,40
2550,0,14
2551,18,10
2552,6,11
2553,8,17
2554,4,12
2555,6,17
2556,9,61
2557,6,15
2558,23,25
2559,11,33
2560,66,202
2561,11,188
2562,2,46
2563,4,9
2564,1,8
2565,8,47
2566,3,0
2567,5,0
2568,3,0
2569,16,8
2570,20,0
2571,9,3
2572,13,3
2573,10,4
2574,7,0
2575,12,4
2576,20,2
2577,28,2
2578,23,10
2579,43,2
2580,11,3
2581,22,17
2582,97,4
2583,96,4
2584,29,6
2585,112,3
2586,287,6
2587,15,5
2588,18,7
2589,16,5
2590,11,4
2591,3,2
2592,7,5
2593,9,3
2594,7,5
2595,2,6
2596,5,8
2597,1,17
2598,4,7
2599,7,20
2600,1,15
2601,2,23
2602,4,8
2603,4,7
2604,4,14
2605,8,15
2606,2,7
2607,57,12
2608,13,27
2609,30,13
2610,1,96
2611,5,15
2612,2,6
2613,18,8
2614,1,21
2615,1,14
2616,0,6
2617,4,5
2618,6,4
2619,1,0
2620,2,3
2621,2,0
2622,3,1
2623,3,2
