code,date,max,min,city,average
CA001101140,1970/01/01,3.3,0.0,BUNTZEN LAKE,3.15
USC00051268,1970/01/01,0.6,-10.0,CAMPO 7 S,-0.27
USC00440187,1970/01/01,7.8,-0.6,AMELIA COURTHOUSE 1,0.48
CA00110EF57,1970/01/01,NA,0.6,N VANC GRAND BLVD,4.15
